20260309-000730-8168 39083 * main            (benchmark.cc:404): Starting benchmark.
20260309-000731-4188 39083 * main            (benchmark.cc:623): Creating a default paritioner!
20260309-000731-4191 39083 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260309-000753-3918 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000753-3918 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000753-7953 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000753-7954 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000753-7954 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000753-7954 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000754-1993 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000754-1993 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000754-1994 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000754-1994 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000754-6027 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000754-6028 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
